Slang,Arti
ajahh,saja
dll,dan lain-lain
by far ,sejauh ini
official website,situs resmi
look no further!,jangan lihat yang lain
love it!,suka 
playful,ceria
gue,saya
fan ,penggemar
very recommended!!,sangat direkomendasikan
pny,punya
slain,selain
colour range,rentang warna
buanyaaaaakkk ,banyak 
sukaa…,suka
glossyyyy,mengkilap
pas.. ,pas
dy,dia
yaa,ya
i love theeem..,saya menyukainya
worth it lah..,sepadan
"for sure, repurchase!","pasti,beli kembali"
i'll repurchase it with another color~,saya akan beli lagi dengan warna lainnya
banyaaaakkkk bangeett…,sangat banyak
ngelotok,mengelupas
downsidenya,sisi negatif
tokcer!,bagus 
good quality,kualitas bagus 
love it so muchhhhh,sangat menyukainya
denger2,dengar-dengar
lg,lagi
bangeeettt,sangat
i'm a biggest fan of this product!,saya penggemar berat dari produk ini
walopun,walaupun
tu,itu
poles2,poles
oia,oh iya
duhhh,duh
palingggg enakkk,paling enak
wanginyaaa,wanginya
bangeeeeet,sangat
bagus2,bagus
abisssss ,abis
syukaaa syekaliiihhhh,suka sekali
sll,selalu
aju,saya
aq,saya
krn,karena
super pretty !,sangat cantik
gag,tidak
ky,kaya
n,dan
utk,untuk
bawa2,bawa
oles2,oles
mantep,mantap
kalo,kalau
ato,atau
ok,oke
sukaaa,suka
sm,sama
wrn,warna
bgs,bagus
bgt,banget
mkn,makan
lengket2,lengket
kt,kata
klo ,kalau
but i love it so much,tapi saya sangat menyukainya
sy,saya
nge blok..,memblok
this product value for money..,produk ini sesuai dengan harganya
adorable..,menggemaskan
i owned 3 colors of this product,saya punya 3 warna untuk warna ini 
"one word, favorite!","satu kata, favorit"
stlh ,setelah
ngga,tidak
spt ,seperti
skitar,sekitar
nga,nggak
it is worth the money ,itu sepadan dengan uangnya
not top expensive,tidak mahal
re-purchase,membeli lagi
so far,sejauh ini
pd,pada
lovvveeeee!,cinta
travel friendly,mudah dibawa saat bepergian
chalky,pucat
rating,peringkat
worth the value,sepadan dengan nilainya
smelling2,baunya
booming,meledak
lightweight,ringan 
easy to blend,mudah dicampur
work well,bekerja dengan baik
attempting,mencoba
tempting,menggoda
glides on smoothly,meluncur dengan halusnya
too pricey,terlalu mahal
playfull,ceria
nice taste,rasanya enak
protect bibir,melindungi bibir
a little useless,sedikit tidak berfungsi
washlap,waslap
single use,sekali pakai
relaxing bgt,sangat menenangkan
spooky2 wangi,menyeramkan tetapi wangi
gentle bgt,sangat lembut
switch product,ganti produk
super pricey!,sangat mahal
not repurchasing,tidak membeli kembali
ada nozzle-nya,ada penyemprotnya
cooling sensation-nya,sensasi dinginnya
picky,pemilih
redundant,berlebihan
no sticky feeling,tidak terasa lengket
old fashion,kuno
harsh,kasar
packagingnya bulky,kemasannya tebal
diwarm up,dihangatkan
donwsidenya,efek sampingnya 
sting,menyengat
pricier,lebih mahal
melting,mencair
artificial banget,sangat buatan
too perfumy,terlalu harum
ga eyecatching,tidak menarik perhatian
shining,bersinar
cheap but great,murah tetapi bagus
prep,persiapan
bouncy banget,sangat kenyal
selfperserving,melindungi diri sendiri
junkie,pecinta
compatible,cocok
unbranded,tidak bermerk
seamlessly,mulus licin 
lightweight,ringan
texturenya,teksturnya
very pricey,sangat mahal
fine-fine,baik
effortlessly,dengan mudahnya
nicely,dengan baik
amazed,kagum
kerontang,sangat kering
nyembuhin,menyembuhkan
jidat,dahi
cekit2,sakit
melotok2,mengelupas
kusem,kusam
kucel,kumal
ga nerusin,tidak diteruskan
nyicip,mencicip
ribet,rumit
gampang pecah,mudah pecar
baunya nusuk,baunya menyengat
engga ilang2,tidak mudah hilang
kelupas2,mengelupas
gradakan,tidak terawat
belepotan,berantakan
nyoba,mencoba
cus beli,langsung beli
lngsung cus,langsung
copot,lepas 
menor,belebihan
menurutq,menurut saya
ngefek,berdampak
nay banget,tidak 
ga manjur,tidak berfungsi
ngiler,sangat menginginkan
nge 'garuk',berefek
geday2,besar
ga bole,tidak boleh
se-natural namanya,sealami namanya
mayan mahal,lumayan mahal
gampang ngusrek,mudah menyebar
gampang mengusrek,mudah menyebar
cucok banget,sangat cocok
pokoonya jatuh cintrong,pokoknya jatuh cinta
ga bikin eneg,tidak membuat muak
ngeborong,memborong
gak rempong,tidak rumit
agak gambling,sedikit tidak menentu 
agak sangsi,sedikit ragu
bikin eneq,membuat muak
ada pumpnya,ada penyemprotnya
cakep banget,sangat keren
ga ninggalin residu,tidak meninggalkan residu
langsung lumer,langsung leleh
ga gosong-gosong banget,tidak terlalu gosong
ogah,tidak
menurutq,menurut saya
ngblend,tercampur
nyamarin noda,menyamarkan noda
aga tajem,sedikit tajam
agak ringkih,sedikit rapuh
gonjreng,heboh
ketebelan,terlalu tebal
ngelupas-ngelupas,mengelupas
ga sticky,tidak lengket
kerasa enak banget,terasa sangat enak
ngga mencolok,tidak mencolok
gampang dicari,mudah dicari
nyesel ,menyesal
fresh dadakan,segar secara langsung
kempes,kempis
oles gosok,dioles
clekitnya,sakitnya
ngga bulky,tidak tebal
kurang travel friendly,tidak mudah dibawa saat bepergian
kurang nampol,kurang terasa
ngangkat kotoran,mengangkat kotoran
nggak sewangi,tidak wangi 
bolak-balik oles,oles lagi
gagangnya rada lunak,gagangnya sedikit lunak 
gampang banget patah,sangat mudah patah
rasanya enteng,rasanya tidak berat
jadi beleber,jadi luntur
bersih keset,sangat bersih
biar pol,supaya lebih terasa
sebulan make,satu bulan pemakaian
di oles semuka,di oleskan ke seluruh wajah
botolnya gede,botolnya besar
dipipi makin merah,di pipi semakin merah
kompresan mata,alat untuk mengompres mata
ngempesin jerawat,mengempiskan jerawat
nempel bgt,sangat menempel
cucinya aga lama,sedikit lebih lama saat dicuci
bkn lengket,menyebabkan lengket
sensasi celekit2 nya,sensasi sakitnya
efek mutihin,efek memutihkan
muka kenceng,wajah terlihat kencang
hemat banget,sangat hemat
suka tumpah-tumpah,mudah tumpah
sampe mengeras,sampai mengeras 
masi mempan,masih berfungsi
bosen makenya,sudah bosan ketika memakai
rekomen,rekomendasi
gendut bulky,tebal
aga celekit2,sedikit sakit
aga panas gitu,sedikit panas
kumat,muncul lagi 
cenut-cenutnya,sakitnya
jempolan bangeet,sangat bagus
kaya ga bersih,terlihat tidak bersih lagi 
towel-towel,colek
kesat sekesatnya,sangat kesat
di taroh,ditaruh
cekit-cekit,perih 
menyengat bangettt,sangat menyengat
di trotolin,dikelupas
repot,ribet
pekejing,kemasan
tolerir,toleransi
amburageul,berantakan
encer,terlalu cair
this one is gorgee!,yang satu ini sungguh menawan
apalg,apalagi
krn,karena
pdhl g suka,padahal tidak suka
ttambah item,tambah hitam
kapokkkk,jera
berenti pake ituu,berhenti menggunakan itu
bau ny kaaya jamu,baunya seperti jamu
nyesellll,menyesal
mahal uhuuuuy,sangat mahal
duuuhhhh perihnyaaa,perih
ampuun perih,sangat perih 
but nooo,tapi tidak
lembutt,lembut
wangiiii,wangi
muluus liciin,mulus licin 
wangiiiiiiiiiiiiiiiiii,wangi
lembuuuttt,lembut
smoooooooth,halus
gede beneeerr,sangat besar
haluuuussss bgt,sangat halus
baunyaaaa..ampun dag,baunya tidak tahan
jarnya gedeeee banget,botolnya sangat besar
lgs bl agak byk buat stok,langsung beli agak banyak untuk stok
jatuh cintanyaaa,jatuh cintanya
sukakkk banget,sangat suka
paaaass banget,sangat panas
mahal tapiiii bikin addicted,mahal tetapi membuat ketagihan
emg ga gosong,memang tidak gosong
yaa ampuun seneng bangett,sangat senang
ringan sebenernyaaaa,ringan sebenarnya
penasaraaaan bgt,sangat penasaran
maniiis banget,sangat manis
yaa cocoklaah,cocok
ttermasuk mahal,termasuk mahal
jadi awettt,jadi awet
cerah booookkk,sangat cerah
keriiiiiing banget,sangat kering
g tll ampuh,tidak terlalu ampuh
g ngaruh apapun,tidak mempengaruhi apapun
krg puas,kurang  puas
krn gel kl ya,karena gel kali ya
lsg beruntusan,langsung keluar bintik halus pada kulit
agak bnyk dech,agak banyak
bersihaaaaan banget,sangat bersih
soooooft banget,sangat lembut
cantikkkkk abez,sangat cantik
lbh efektif,lebih efektif
so preetttyyy,sangat cantik
kl bwt combi,kalau untuk gabungan
gampang didpt,mudah didapat
trklupas,terkelupas
sukakkk banget,sangat suka
clekit-clekit,sangat perih 
hygenis,higienis
aluuus,halus
krg sreg,kurang sesuai
fress gtu,segar
higinis,higienis
cairanny,cairannya
pastiii,pasti
kincloooong,kinclong
combained,digabungkan
finsihnya,hasil akhirnya
mbersihi nya,membersihkannya
rileksss,rileks
gampaaaaang banget,sangat gampang
bikin,buat
