,review_text,review_rating
36,semenjak aku tau kalau vienna body scrub memiliki kandungan kumplit sperti aha collagen multivitamin milk uv protector aku langsung memutuskan beralih body scrub sebelumnya sstttt tidak kasih tau dong apaan bener banget pakai body scrub beda banget waktu aku gosokin permukaan kulit pokoknya kerasa banget lembut nya tidak kasar pemakaian terbukti kulit langsung terasa lembab permukaan kusam menjadi lebih cerah aku lanjutkan pakai naturale semacam body bleaching begitu naturale bakalan review,5
38,harumnya buat ketagihan persis banget harum permen sugus hehe enak banget dipakai jangan terlalu tebal moisturizing banget shea butternya sangat melembabkan bibir sangat awet ukuran sekecil aku udah setahun awet amazing product,5
39,been using this lip balm a lot aku seringnya pakai siang hari aja mengandung spf aku beli karna baca fd pas bibir aku lagi pecah banget pas puasa pakai pecahnya berkurang bnyk banget so happy aku suka banget dgn lip balm sticky greasy which i really benci beda same lip balm kyknya sticky banget rasanya risih begitu so i definitely gonna repurchase this someday,5
40,tau brand sejak lama karena suka banget baca tentang korean skincare trnyata sulwhasoo jadi number skincare disana penasaran sama produk high end korea mencoba sample size sangat sangat worth it seminggu make muka jadi haluus pori ngecil daerah idung jg jadi alus hehe dan i think i cant live without it,5
41,akhirnya nemuin pembersih make up yang sangat canggih pertama beli langsung ngerasa bedanya pakai bioderma sama produk hampir hari pakai make up bersihin cm pakai sabun aja jadi gampang jerawatan pakai bioderma jerawat tidak sering muncul cinta this product so much,5
44,cleansing mask favorit aku awal tau menard suhu-suhu female daily beauty blogger banyak ngerave produk harga affordable masker benar-benar terbukti membersihkan muka aku isi nya berbentuk clay berwarna hijau ukuran gr aku rasa masker dibawa kemana-mana travelling treatment rumah aku pakai seminggu sekali weekend hehehe masker engga buat kulit aku kering sama sekali awalnya sempat was-was kulit ku sensitif ternyata malah enak sekali kulit berasa bersih banget sehabis pemakaian oh iya jangan lupa membersihkan masker benar soalnya bakal residu-residu hijau tersisa dimuka kamu hehehe,5
46,i dont like skin care products that have sticky texture lama menyerap kulit jadinya lumayan pemilih sama sun protection coba suka banget teksturnya ringan gel like cepet meresap kulit without any sticky feeling tidak buat mukaku tambah oily tidak nyumbat pori-pori aku a major plus point buat kulitnya gampang jerawatan komedoan kaya aku one of my favorite drugstore product,5
47,ukuran sunscreen ber spf water based gampang menyerap kulit harga bawah ribu skin aqua uv moisture milk worth to try banget sering diskon supermarket,5
52,the best bb cream ever pakai missha aku dah mencoba maybelline wardah etude giordani cc cream sama alas bedak nya banyak aku paliiing suka sama missha blendable banget coverage nya pas enteng banget muka kayak cc cream staying powernya sampe - jam sampe oily banget cuma jadi glowing begitu buat efek muka keliatan mulus buat jerawat kulit sensitifku produk udah spf nya termasuk tinggi jadi all in one banget kalau kekurangannya sih wanginya kayak emak emak aku kurang suka sama buat komedo rada muncul mucnul begitu gapapa diakalin kok,5
53,aku suka banget lipstick sleek fandango purplebrithday suit yang jadi benda kesayangan kemasan nya cantik elegan warna nya bagus warna yang sesuai dengan warna alami kulit mauve pinktapi pas dipakai bibir tidak pucet smoga terus produksi nenekquot haha i will purchase this amazing product,5
54,micro essence mirip fte skii banyak sekali bedanya pertama teksturnya enggak secair fte benar cair air wanginya enggak se strong fte kombine anr serum hasilnya makin optimal micro essence dipakai serum rstee lauder lainnya,5
55,suka banget sama masker cara pakainya kalau aku pakai kuas terus dioles tipis keseluruh wajah dipakai seminggu sekali pas mau acara kaya kondangan acara bermake up ria dan berfoto ria begitu jadi makeupan maskeran pakai youthmud dulu habis dibersihinnya gampang banget tinggal dibasuh gerakan memutar hasilnya kulit realy glam dan glow hehehe kenyal banget lembab bersih banget kalau habis makeupan jadi lebih nempel gak gampang minyakan tengah hari komedo buat idung tidak terawat babhaay hehehe serius cuma pedes geli diawalnya aja sih buat bete,5
62,my holy grail product entah udah berapa kali aku repurchase produk dan yeah it really works in brightening my skin bahkan kulit tanganku jauh lebih putih kulit mukaku lol kalau dipakai rutin sehari kali mandi cepat terlihat hasilnya kok iya kalau lebih maksimal dibarengi scrub tubuh seminggu sekali,5
63,pertama beli oil control water cushion sebener nya karna tertarik sama promo nya buy cushion free refill yeah i think its a good deal tipe muka ku yang oily akhir nya aku beli hahaha kesan pertama nya pakai cushion tekstur nya muka jauh lebi mulus drpd pakai bb cream meskipun pori tidak ketutup smua jadi buat yang pori nya gede keliatan nya pakai primer dl biar hasil nya lebi mulus muka ku termasuk banyak bekas jerawat yang membandel cushion tfs sangat membantu menutupi bekas jerawatku terus spf pa nya cocok banget buat kegiatan outdoor jadi buat muka kamu tidak berminyak tidak buat item d praktis jg buat dibawa dan gampang banget buat pakai nya cara pakai nya tinggal tepuk aja biar lebi natural tetapi buat yang oily skin kayak ak ak saranin pakai bedak habis pakai cushion karna pas ak coba tidak pakai bedak mukaku tetap aja berminyak meskipun riasan ku tidak luntur sih berjam panasan luar p,5
64,pemakaian kurang lebih sebulan aku suka banget sama clay masque sukin kulitku jadi terasa halus kenyal lembab pori mengecil komedo sedikit berkurang masker gak buat muka aku kering pertama kali ngeliat teksturnya mirip sama slime aku ngira masker bakal lengket susah diaplikasiin ternyata aku salah masker gampang banget diaplikasiinya kaya lotion begitu tidak lengket baunya aku kaya bubur bayi,5
65,awalnya malah cobain tamagohada pump versi jepang kendala selalu po terus eh ternyata hada labo sekarang udah hadir indonesia sangat senang sekali dong langsung beli hahaha walaupun hasilnya engga sebagus jepang menurut pendapat saya facewash cukup membuat kulitku tetap lembab engga kering sama sekali engga buat reaksi kulit karena tidak cocok dengan zat aktif pada produk aku pakai facewash seminggu -x membuat bekas jerawat dikulit semakin memudar engga bakalan deh rugi beli produk satu bakalan repurchased terus hehehe,5
67,wahhh sih favorite wajib coba kulit ku cenderung berminyak tidak terlalu berjerawat habis pakai si sugar jadi tidak banyak minyaknya bekas jerawat cepet banget hilangnya asal rajin makenya repurchase yes mungkin packagingnya ganti kali biar lebih gampang ngambilnya kasih spatula begitu d,5
69,pakai masker aku pelanggan setia facial perbulan bahkan per-tiga minggu klinik kecantikan dokter spesialis kulit soalnya white head hilang difacial tidak nyampe berapa lama muncul akhirnya rekomendasi beberapa temen beli masker awalnya pesimis eh trrnyata pemakaian hari sekali white headku mulai ilangan sekarang dipakai seminggu sekali white headnya tidak muncul so yes this is my holy grail mask,5
70,penasaran reviewnya nunjukin before-after bener sih sedahsyat akhirnya nyobain deh pas buka packagingnya langsung kecium bau kopi lumayan kuat aku suka kopi jadi aku suka-suka aja sih sama baunya aku pakai buat seluruh badan targetku selulit scars awal pemakaian kok keliatan hasilnya kulit langsung lembut banget lembutnya harian mulai dirutinin kali seminggu berhasil memang dirutinin sih kalau mau dapet hasil cepet selulit bekas lukaku jadi samar kerasa sekarang mau buka bungkus semoga bekas lukaku hilang berbekas,5
71,lipbalm paling menghidrasi aku pakai sejak smp ganti kemasan biasa aku pakai tidur karna jujur terasa berat dipakai manjur mengurangi bibir pecah-pecah harganya terjangkau kadang susah dicari lama banget abisnya kadang keburu sabar coba lip balm selalu lipbalm paling cocok bibir,5
77,baru mencoba sample-nya jatuh cinta mau beli beberapa bb cream pernah coba bb cream terbaik gak oily gak kelihatan terlalu matte kata hanzky kl pakai gak pakai bedak gak masalah awalnya sempat ragu shades takut pilihan warna medium terlalu putih buat ternyata gak masalah benar terlihat flawless,5
78,serum vitamin c favorit aku harganya lumayan dijangkau aku bakal repurchase terus sepertinya xd aku pakai serum kali sehari kadang aku pakai malam kadang aku pakai pagi hari kesan awal pemakaian waktu kulit aku berjerawat bekas jerawat lumayan menganggu apabila serum dipakai rada sedikit perih engga buat kulitku iritasi kering malah semakin cerah hehe pemakaian bulan sangat terlihat berkurangnya bekas jerawat muka ku yay,5
79,deep pore cleansing bener bangeeeett habis pakai masker kerasa banget porinya jadi bersih prefer dicampur ama air biasa aja pakai apple vinegar karena lebih kerasa nyut nyut nya muka kadang tidak tahan sih menit langsung dicuci klo dr hasilnya lbh suka dibandingkan mint julep klo praktisnya prefer mint julep aja tidak messy kaya aztec,5
80,jaman sma facial foam andalan walaupun bukan produk mengatasi masalah jerawat facial foam mengatasi masalah jerawatku pakai jerawat jarang sekalinya cepet sembuh aku sama sekali punya bekas jerawat masa sma dulu bagian sering jerawat dahi dahiku bekas jerawat sama sekali harganya sendiri cukup murah dulu gampang belinya dimana-mana wanginya enak cukup awet dipakai,5
82,masker favoritku kalau berasa muka kusam banget tidak jelas begitu kayaknya kulit muka semacam lelah apa gatau yang kalau merasa kulit muka bermasalah aku larinya masker habis pakai kulitku berasa kenyal cerah lalu pakai riasan jadi enak base nya mulus yang aku suka praktis isinya banyak gampang ditemukan supermarket,5
83,akhirnya nemu lipbalm yang cocok tekstur berat cukup poles tipis dan udah lembab mungkin cocokan eos yang paling cocok aku sering bermasalah sama produk bibir gampang alergi sampe bibir bengkak bintik halus pada kulit dan pecah tidak banget pakai lipstick matte skarang tinggal pakai eos lipstick voila bibir aku aman sekarang klo ketemu lipstick yang tidak cocok palingan cm kering dikit aja bibirnya penyelamat banget lah so far udh pakai yang honeysuckle dan aloha hawaii suka wanginya kalau habis pastinya bakal restock asap hehe,5
87,termasuk face lotion favorit aku skincare hada labo gokujyun series emang mumpuni banget kulitku konsul sana sini ternyata kulit wajahku kombinasi terkadang kering banget terkadang oily banget akhirnya memutuskan pakek si lotion seminggu kentara banget perbedaannya wajah jadi super tight after facial washing lembab banget biasanya pemakaian aku timpa pakek moisturizer mungkin kalau packagingnya dibuat pump bakal lebih bagus imho,5
88,biasanya pakai mustika ratu kemahalan susah didapat jadinya coba inidan suka murah wanginya khas suka pakai toner habis cuci muka pakai riasan tiap pagi kadang pakai tidur biar relaksenak bakal pakai terus deh kayaknya,5
90,suka banget sama bb cream cocok daily light coverage matte finish packagingnya cantik banget desain ciri khas anna sui udah spf tinggi jadi kadang aku pakai bb cream sunblock sebelumnya bb cream gak buat aku break out cocok buat kamu punya kulit berminyak kombinasi aku,5
92,aku super cinta banget sama masker kalau aku punya jerawat beruntusan seketika langsung kempesin bener bener ngangkat kotoran minyak mukaku sama ngilangin komedo hitam aku hidung pokoknya bagus banget deh buat kalian kulitnya sensitif kayak aku pakai enhancer produk nuskin apply maskernya trus biasanya maskernya aku campur napca produk nuskin aku baurin trus dipakai dimuka jadi tips buat kulitnya kering tetapi mau nyobain masker,5
93,rose beli sendiri kalok yang tulip dikasih gratisan mau nyobain warna yang sesuai dengan warna alami kulit honey cherry sih penasaran kl ad deluxe size with reasonable price b warnanya mlbb aku pinkish bagus begitu wangiknya khas semua fresh sugar packagingnya sukakkk bagus gak beret cap jari bnyk yang duplikat hihihih spf lembabin tetapi ak lbh sukak pakek pas malem sih malahan jadi wasting gk tepat waktu makekny hmm usapan is enough jadi lasts me months,5
94,aku udah beli produk kali aku suka produk bersihin wajah komedo beneran hilang wajah aku terbilang sering muncul komedo putih biasanya hilang kalau aku facial aku pakai produk cuma kali komedo putihnya lebih mudah buat dibuang ninggalin bekasnya,5
96,kesukaan aku buat gantiin avene thermal spray klo kehabisan avene fungsi nya buat pre serum begitu ditepukin wajah sblm serum lembab sunblock lenongan buat pre serum aku suka ide banget pakai buat csm an muka super kenyal kenyal pgn gigit pipi sendiri,5
98,kulit aku berminyak berkomedo berjerawat berpori-pori besar akhirnya nyari scrub aman sehari-hari tidak buat komedoan beli scrub benscrub berikut reviewan aku harga cukup mahal benscrub dulu pas guardian harga lebih murah seingetku kemasannya beda lebih besar guardian krimnya teksturnya kayak odol scrubnya kecil-kecil enak banget wanginya wangi green tea aku pakai cuci muka dipijat pelan-pelan oiya aku tidak pakai hari kok per kebutuhan aja at least x seminggu komedo hilang tidak pakai tidak hilang semuanya sih pakai kulitku jadi lembut banget mengkilap tidak buat jerawatan komedoan beli kalau udah habis banyak banget isinyaover all aku suka sama scrub green teanya stives,5
99,yeay sekian lama berkutat fw acne kali aku memberanikan diri nyobain fw biasa aja seneng banget hasilnya oke gak keset begitu dibilas gak buat reaksi kulit karena tidak cocok dengan zat aktif pada produk yes for repurchase,5
100,aku suka banget sama bioderma pertama kali aku tau bioderma tahun lalu beauty vlogger youtube aku kira gak available indonesia waktu aku klick google munculah femaledaily,5
102,suka banget sama lipbalm bener-bener buat bibir lembabselalu repurchase kalau habis udah kali repurchase pernah mencoba lipbalm kurang cocok akhirnya pakai sebamed lipbalm,5
104,dulu sekarang aku cocok pakai sabun muka garnier gak aku sih anggota keluarga ku cocok pakai sabun cuci muka gak buat jerawatan gak buat minyak berlebih aku sih merasa muka lebih cerah aja cuci muka pakai harganya terjangkau mudah toko terdekat aku selalu stock banyak rumah,5
106,produk toner dailyku kandungannya soooftt banget gak buat muka kering break out perih pokoknya plg cocok sama toner viva yang dibanding varian buat muka bersih lembab tetapi gak yang smp berminyak begitu,5
108,produk cnc aku bawa tas kalau siang - siang muka berminyak aku pakai minyaknya berkurang malam pembersih aku jarang sih pakai pas malam palingan pakainya kalau merasa wajah aku kotor banget jerawatnya ampuh buat ngempesin jerawat soalnya kalau keseringan makainya buat wajah kering ringan segar gak cocok buat kamu kulitnya kering,5
109,akhirnya nemu toner cocok bener-bener do something but kulit tidak kerada burning kaya toner sebelumnya yang aku coba semua bruntusan-bruntusan hilang merasa kulit lebih kenyal sebelumnya aku botol kedua,5
110,pertama kalinya beli kypris beli hmm buka botolharummm sekali its heaven karena ktny formulasi baru jadi warnanya butek tidak sepeeti sblmnya putih susu konsistensiny susah untuk dippipetin hasilnyamerah wajah lsg hilang aplikasi serum wajah lembab aaaahhh sukakk repurchase yes,5
111,aku produk mahal sesuai banget harganya kata pepatah barang harga sama produk kamu mau membersihkan riasan tahan air produk melakukan pekerjaannya baik produk membersihkan waterproof riasan sekedar membersihkan powder foundation toner produk the best,5
114,wahh kalau masalah masker sih aku selalu pilih garnier soalnya garnier gak nambah masalah kulit aku beberapa produk yang aku pakai slalu tidak cocok buat aku suka sama yang peel off masker adventure nya begitu asik aja peeling maskernya pas uda kering hahaha wanginya yaaaa begitu deh mayan,5
115,pertama kali coba pakai scrub langsung jatuh cinta scrubnya lumayan merontokkan daki-daki gak terasa kasar kulit pakai rasanya lembab gak minyakan enak banget deh wanginya seger terpenting nih harganya sangat terjangkau sekali jadi makin cinta deh,5
118,aku lumayan sering pakek bb cream aku suka banget soalnya warnanya cocok kulit akuaku awalnya ragu soalnya harganya murah banget buat ukuran bb cream jadi aku gimana begitu nyobain malah kayak waw kaget banget bagus banget aku bener-bener appreciate buat wardah soal bb cream,5
120,pertama kali coba terasa perih  sih kalau dipakai kulit yang keringg tidak berlangsung lama dibilas enaaaak banget halus walaupun so far komedo tidak merta hilang pori-pori lagsung mengecil im on nd jar salah satu masker yang dirumahhh,5
123,nice facial wash buat kamu kulitnya berminyak terasa kering selesai memakainya super great ukurannyapun besar sebulan pemakaian scent nya sangat natural i cinta it terlalu memakai bahan kimiawi berlebihan membersihkannya memang sangat tuntas,5
124,pakai sponge beauty blender buat muka jadi flawless tahan lama ngejangkau lipatan hidung daerah mata bibir wuih manteb banget nyucinya gampang buat liquid foundation lebih mudah langsung cling muka udah x beli hihi,5
126,yes yes sunscreen must banyak buat favorite pertama buat abu-abu kedua greasy malah buat kulit dewy ketiga buat break out keempat cepat meresap kelima white cast keenam oil control nya bagus ketujuh spf pa nya lumayan tinggi apa kedelapan berbau tajam pokoknya i cannot live without repurchase absolutely,5
127,aaaaaaaaaaaaaaaakkk favoriteku sepanjang masaaa haha lebayy yaaaak biasanya sih aku buat sendri hasil fermentasi ragi dan nasi tetep dooong aku nyetok kalau males kantinggal pakai ngeracik wkwk buat wajah lembab dan skin care lainnya dan riasan jadi awetttt buat pudar bekas jerawat,5
128,tertarik nyobain review nya low ph memang sesuai review tidak kerasa kering atau terasa ditarik begitu enak karena unik bentuknya stick jadi klo bawa travelling tidak takut tumpah deh buat alternatif cleanser selingan sama cleanser yang first korean cleanser yang aku coba ternyata bagus,5
129,toner in enak banget dipakenya tidak buat kering maupun berminyak just right jerawat tidak gampang muncul well every paulas choice product are indeed very good sayangnya tidak dijual indo so aku jg tidak pernah repurchase lagi kalau luar kemasan jumbonya which is really really value for money ngabisinnya luamaaaa banget,5
130,definitely my favorite scrub of all time biasanya beli scrub bentuknya jar begitu kan dan its always spoiled isinya habis entah kemasukan air tumpah jadi karatan ditempatkan shower area kalau bentuknya tube jadi banget packagingnya practical dibawa traveling wangi lavendernya buat relax kalau mandi malam trus teksturnya lumayanapa namanya kasar it has enough grit to make you feel like it does a good job exfoliating the skin jadi saya sih kata gentle exfoliating misleading mungkin maksudnya gentle it doesnt dry up the skin anyway will definitely buy again,5
131,aku pakai produk acid toner aku pakai tiap malem kadang tiap hari selama seminggu kadang seminggu x gantian sama acid toner yang produk gak buat kerinh muka asaaaaal habis dipakein hydrating toner moistutizer menurutku produk affordable buat kalian yang pengen coba acid toner bahkan menurutku lebih bagus bha liquid merk us yang terkenal lebih murah hasil pemakain beberapa minggu sih keliatan muka aku jadi lebih bersih meratakan tone muka pori bersih bebas komedo kalau jerawat aku suka kompres tuh pakai produk dituang kapas aku suka gantian pakenya sama cosrx bha a sol hasilnya jerawat kempis,5
133,pernah menggunakan produk isinya banyak ber-kali pakai aku campur air mawar menggunakan wajah jadi kenyal kencang cerah pernah repurchase selalu mencoba mask kosmetik korea,5
134,lip balm sangat memuaskan menurutku bibirku bener-bener kering sering banget sampe berdarah pecah-pecah sekarang pakai produk baru sehari aja udah tidak pecah-pecah kulit kering aku pakai malam aja tidur seharian besoknya bibir lembut halus kulit kering mengelupas,5
135,in looove with this product warnanya cantik natural tidak buat bibir kering pas banget buat dipakai daily ataupun dijadiin lip liner aku suka campur-campur pakai lipstik sama lipstik warnanya jadi bagus banget definitely repurchase,5
136,cocok dipakai buat pemulihan jerawat radang aku kompres besoknya radang nya baikanfte pakai sebagaiuaday dan night skincare routineuabahkan kadang kalau aktivitas outdor cuaca panas fteua aku semprotkan wajah menyegarkan jadi selalu aku bawa kemana-mana pakai kapan butuh segeeer,5
137,pertama kali mencoba sunblock langsung suka bgttexture nya ringan hasilnya mattesebum control nya juara bgtgw biasanya make pas kuliah pagi sampe sore tidak buat wajah jadi kusamrepurchase of course yes,5
138,awalnya pakai pot yang pink cuma buat ngelembabin bibirmmku sering pakai buat kulit keringbibir trus liat katalog baru yang pot warna coklat wangi caramelduh tambah suka banget udh seminggu pakai rutin tiap malem buat bibir asalnya bibir aku kering jdi terlalu tebal  klo pke lisptiktapi skrg udah engga krna pke cinta it,5
140,bener produk yang selalu digunakan di rutinitas kecantikan banget aku beli kebetulan pas scilla disc rb langsung lah cobain sekalian yang ml karna kebetulan riasan remover myblline aku habis pas aku coba bener tidak lengket licin aneh spt merek pas pakai malah wajah berasa jadi lembab gituu terus a little goes a long way duhh pokoknya suka banget dehh gabakal beli merek yang kmrn aku pakai lol sayang harganya termasuk mahal sih riasan remover but at least sebanding performance nyaa,5
141,nyobain karna make bareng sama kakasal pakai aja katanya bagusini cocok buat kulit berminyak karna tidak buat tambah minyakandan iya benerga buat jerawatankalo berangkat sekolah suka pakai sama bedak sedikit biar keliatan seger cocok bangetudah setahun beli belom habis jadi takut mau pakenya hehemenurutku harganya sebanding sama produknya,5
142,mahaaaaaaallllllll but its work pakai daerah t pemakaian teratur x hasilnya mulai terlihat big pore komedo hilang sejauh glam glow supermud bener-bener mengatasi masalah komedo big poreku,5
144,bulan pertama buat kulit beruntusan meski kentaratapi digunakan rutin x sehari hasilnya terlihatessence menyeimbangkan kadar minyak muka muka terlihat glowy meski baru cuma pakai fte clear lotion sajadipakai dibawah mata pakai eye cream buat kerja eye cream jadi lebih baguskeriput bawah mata jadi lebih halus kalau pakai concealer hasilnya lebih merata soft intinya i cinta this essence for making a wonderful result on my aging skin,5
145,im soooo in cinta with this product everything just perfect produk membersihkan membuat iritasi bertekstur foam pemakaian-pun wajah gak terasa kesat terasa kenyal lembut meskipun digunakan sat wajah berjerawat gak usah kuatir tidak menyebabkan jerawatmu jadi merah-merah sayangnya tube besar sulit didapatkan,5
146,termasuk pengguna baru sk-ii baru bulan awal sekali coba fte berbarengan facial cleansing oil clear lotionnya hasilnya wajah memang jauuuhh lebih cerah dibanding pakai kulit muka oily terlihat jelas bangun tidur semenjak pakai fte bangun tidur lalu keluar rumah cuci muka pada deh hehehe semenjak pakai fte kadang pergi kantor make up sama sekali fungsi fte tahu memang serum mengoptimalkan produk apapun dipergunakan setelahnya diartikan mempersiapkan kulit sesehat mungkin diberi riasan imho jadi memang sesuai rasakan kulit wajah jauh lebih sehat sebelumnya super kumal kalau sekedar menghilangkan jerawat akui fte ampuh banget mulai meradang timbul jerawat selalu kompres fte malam tidur besoknya jerawatnya hilang deh gagal tumbuh kalau masalah buat kulit mulus review banyak baca asal komitmen pemakaian akhirnya flawless perlu diingat sk-ii bukan produk instan jadi sabar telaten hari namanya merawat wajah kalau terburu-buru malah kaget wajahnya kan,5
148,harga emang mahal beli sampel size aja karna lebih murah hehee sampel size aja pakai bulan hari cuci muka x x cuci muka pakek x sabun soalnya muka berminyak jadi memang ud biasa cuci muka selalu x pakek sabunnya habis cuci muka pakek sih rasa kulit muka jadi super kenyal tidak buat jerawat tidak menimbulkan komeda gentle banget wangi nya soft bener suka produk sayang harganya mahal,5
150,awalnya takut mukaku cenderung kering takutnya malah buat kering wanginya malah aku suka jamu jamu begitu wkwkwk pas dipakai perih jadi berasa anti-bakteri nya bekerja kunyitnya udahnya enak banget banyak jerawat kecil kecil langsung gak jadi langsung kempis totally going to be my produk yang selalu digunakan di rutinitas kecantikan mask,5
