Slang,Arti
sheer,tekstur produk dengan cakupan yang tipis dan warna yang halus
it does not trip my skin,itu membuat kulit saya tersandung
look greyish,terlihat keabuan
whitecast,noda putih 
lil greasy,sedikit berminyak
finish look,hasil akhir
dry patches,kulit kering
conceal,menutup
oxidized,teroksidasi
rosy flush,kemerahan
hg find,produk yang selalu digunakan di rutinitas kecantikan dan mudah ditemukan di toko 
retouch,memperbaiki kembali
flacky,kulit yang mengelupas
exfoliatornya,produk yang dapat mengangkat sel kulit mati
shea butternya,shea butternya
contouring,teknik mengecilkan area wajah dengan mengaplikasikan produk rias
base lipstick,alas pewarna bibir
discrub,digosok
physical scrub,alat yang digunakan untuk menggosok kulit
flaky,kulit yang mengelupas
supple banget,sangat kenyal
apply berkali2,aplikasikan beberapa kali
staying powernya,daya tahannya
crackingnya,pecahnya
swatches,pengaplikasikan produk ke area tangan untuk mengetahui warna dan tekstur
watery,berair
dragged out pore plugs,mengeluarkan pori
regime,rejimen
dry flakes,kulit kering 
peel off deh,mengelupas
tingling,geli
ga purging,tidak menimbulkan jerawat akibat adaptasi pemakaian kosmetik baru pada kulit
foundie,alas bedak
darkspot,noda pada kulit yang disebabkan karena sinar UV dan berwana lebih gelap
blusher,perona pipi
runny,berair
yellow-based,warna hangat yang mendekati warna dasar kulit
blotting paper,kertas wajah
pinky pinky kawai,merah muda cerah
puffnya,aplikator pada kosmetik yang berbentuk bubuk
concealernya,tipe kosmetik yang digunakan untuk menutupi noda yang terlihat di wajah.
reapply,diaplikasikan kembali
gak opaque,tidak buram
cool toned,warna kulit yang berada satu tingkat dibawah warna kulit dasar
whitening balancer,kosmetik yang digunakan untuk mencerahkan wajah
versatility lipstick,keserbagunaan dari pewarna bibir
slightly bau kimia,sedikit bau kimia
finishingnya,hasil akhirnya
rash,ruam
skin flakes,kulit yang mengelupas
zits,jerawat yang muncul karena hormon yang tercampur dengan minyak dan bakteri
double toning,teknik perawatan wajah untuk mengangkat sel kulit mati dengan dua penyegar
gunk,kotoran
build-able,mudah ditambahkan
dof,buram
thicker constitency,konsistensi yang lebih tebal
bercoverage,daya tutup yang diberikan produk
very blendable,sangat mudah dicampur 
built able,mudah ditambahkan
pre-skincare,sebelum penggunaan kosmetik
overexfo,eksfoliasi berlebihan
blendingan,campuran
foundy,alas bedak
removernya,pembersihnya
ngeconceal,menutupi
rewel,tidak mudah cocok dengan bahan tertentu
di blot,diserap
agak abu di kulit,sedikit abu di kulit
keliatan dandan,terlihat seperti riasan
ga over flowery,tidak terlalu wangi
daerah t,area wajah di sekitar dahi dan hidung yang membentuk huruf T.
kenyel banget kulitnya,kulitnya sangat kenyal
gak terkesan cemong,tidak terkesan berantakan
embel embel whitenya,tambahan berupa memutihkan
habis ber tube-tube,habis banyak botol
shadeku,pilihan warna saya
blot aja,diserap saja
ga waxy,tidak seperti lilin
daki,kotoran pada kulit yang berupa sel kulit mati
breakout,reaksi kulit karena tidak cocok dengan zat aktif pada produk
ngga kiss proof,tidak mudah menempel 
sedikit sticky,sedikit lengket
ngeswipe,mengusap
ga kusem,tidak kusam
dakinya rontok,kotorannya banyak yang jatuh
seawet matte,awet seperti warna alami tanpa kilap
keastringent,ke pembersih wajah beralkohol yang dapat mengangkat minyak
perlayer,per lapis
totol2,diaplikasikan sedikit 
komedo,komedo
medok,tebal dan berat
berspf,memiliki spf
gak oxy,tidak mudah teroksidasi
kulitku maraah,kulitku merah dan berjerawat
jrwt tambah suburr,jerawat tambah subur
oilierr,lebih berminyak
patchyyy,menonjolkan bagian kulit yang kering dan mengelupas.
mbrutus,muncul bintik halus pada kulit
tp bisa d build,tapi bisa ditambahkan
warbanya soft,warnanya lembut
blendiing so well,tercampur dengan baik
hg lipstick,lipstik yang selalu ada di setiap saat
fswash,sabun pembersih wajah yang berfungsi untuk menjaga kelembapan kulit wajah
g bikin breakout,tidak membuat kulit bereaksi karena tidak cocok dengan zat aktif pada produk
csman,metode Chizu Saeki
jrewi,jerawat
liipsticknya,pewarna bibirnya
re-apply,diaplikasikan kembali
